objectno	envelope	oldobjectno	objecttype	description	notes	dimensions	imagenotes	imagename	imagecomments	imageexists	imagetype	imagedesc
1938	19 #3 7	1967	Sheng head	Sheng head. Wu. Sheng. Flesh face, pale blush; long black opera style stachios, sideburns end in three points; cover mouth. Yellow ying zajin 硬紮巾 stiff hat with four green verticals, 8 small blue pompoms at top and at middle. One large blue tone pompom atop central pompom ornament. Pale green pate, natural neck.	See 1238, 1912.	H:	image 3.1963-3.1968	DSCN4615.JPG	1938, 1939, 1940	YES		
1939	19 #3 7	1968	Sheng head	Sheng head. Wu. Sheng. Black open cut face; long black stachios, sideburns, beard end in points; red mouth. Black ying zajin 硬紮巾 stiff hat with four green verticals, 8 small red pompoms at top and at middle. One large red pompom atop central pompom ornament, and at ear. Lacquered, natural neck.	See 1238, 1912.	H:	image 3.1963-3.1968	DSCN4615.JPG	1938, 1939, 1940	YES		
1940	19 #3 7	1969	Sheng head	Sheng head. Wu. Sheng. Black open cut face; black ‘ba’八 stachios, soul patch, pointed beard; red mouth. Red ying zajin 硬紮巾 stiff hat with four ochre verticals, 8 small green pompoms at top and at middle. One large green pompom atop central pompom ornament, and large blue pompom at ear. Lacquered, natural neck.	See 1238, 1912.	H:	image 3.1963-3.1968	DSCN4615.JPG	1938, 1939, 1940	YES		
1941	19 #3 8	1970	Sheng head	Sheng head. Wu. Sheng. Black open cut face; black ‘ba’八 stachios, soul patch; red mouth. Black ying zajin 硬紮巾 stiff hat with four green verticals, 8 small red pompoms at top and at middle. One large red pompom atop central pompom ornament, and at ear. Lacquered, natural neck.	See 1238, 1912.	H:	image 3.1969-3.1974	DSCN4616.JPG	1941, 1942, 1943	YES		
1942	19 #3 8	1971	Sheng head	Sheng head. Wu. Sheng. Black open cut face; black full opera style beard covers mouth. Black ying zajin 硬紮巾 stiff hat with four ochre verticals, 8 small red pompoms at top and at middle. One large red pompom atop central pompom ornament, and at ear. Lacquered, natural neck.	See 1238, 1912.	H:	image 3.1969-3.1974	DSCN4616.JPG	1941, 1942, 1943	YES		
1943	19 #3 8	1972	Jing head	Jing head. Wu. Lao jing. Red painted face; flesh chin; grey, natural ochre accents; natural ochre stachio, sideburn, opera style beard covers mouth, ends in three points. Black ying zajin 硬紮巾 stiff hat with four ochre verticals, 4 small green pompoms at top and 4 small red ones at middle. One large green pompom atop central pompom ornament, and large blue pompom at ear. Lacquered, natural neck.	See 1238, 1912.	H:	image 3.1969-3.1974	DSCN4616.JPG	1941, 1942, 1943	YES		
1944	19 #3 8	1973	Jing head	Jing head. Wu. Jing. Military. Red pink, white, black painted face; yellow circle on forehead; stylized black eye; full black opera style beard covers mouth; flesh ear. Blue back upward cloth, ying zajin 硬紮巾 hat; 4 red pompoms atop 4 green vertical sticks. Green circlet; front emblem, 4 small red pompom decos, 1 large green pompom. Natural neck.	See 1908.	H:	image 3.1969-3.1974	DSCN4617.JPG|DSCN4618.JPG	1944, 1945, 1946|1944, 1945, 1946	YES|NO		
1945	19 #3 8	1974	Jing head	Jing head. Wu. Jing. Red painted face; black, natural ochre accents. Black ying zajin 硬紮巾 stiff hat with four ochre verticals, 4 small green pompoms at top and 4 small red ones at middle. One large green pompom atop central pompom ornament, and large blue pompom at ear. Lacquered, natural neck.	See 1238, 1912, 1943.	H:	image 3.1969-3.1974	DSCN4617.JPG|DSCN4618.JPG	1944, 1945, 1946|1944, 1945, 1946	YES|NO		
1946	19 #3 8	1975	Jing head	Jing head. Wu. Jing. Grey tone painted face; flesh chin; natural ochre accents; black tufted sideburn into stachio, soul patch; lips, teeth, tongue. Black ying zajin 硬紮巾 stiff hat with four green verticals, 8 small red pompoms at top and at middle. One large red pompom atop central pompom ornament, and large red pompom at ear. Lacquered, natural neck.	See 1238, 1912.	H:	image 3.1969-3.1974	DSCN4617.JPG|DSCN4618.JPG	1944, 1945, 1946|1944, 1945, 1946	YES|NO		
1947	19 #3 9	1976	Jing head	Jing head. Wu. Jing. Demon. Green tone painted face; red cut repeats at brow; scalloped black eye; red tufted sideburn into stachio, soul patch; lips, teeth, tongue. Orange red ying zajin 硬紮巾 stiff hat with four green verticals, 4 small red pompoms at top and 4 small green ones at middle. One large red pompom atop central pompom ornament, and large red pompom at ear. Lacquered, natural neck.	See 1238, 1912.	H:	image 3.1975-3.1980	DSCN4619.JPG	1947, 1948, 1949	YES		
1948	19 #3 9	1977	Jing head	Jing head. Wu. Jing. Grey painted face; black brow; heavy black eye; long black sideburn into stachio, soul patch; lips, teeth, tongue. Black ying zajin 硬紮巾 stiff hat with four ochre verticals, 4 small green pompoms at top and 4 small red ones at middle. One large red pompom atop central pompom ornament, and large red pompom at ear. Lacquered, natural neck.	See 1238, 1912.	H:	image 3.1975-3.1980	DSCN4619.JPG	1947, 1948, 1949	YES		
1949	19 #3 9	1978	Jing head	Jing head. Wu. Jing. Grey painted face, black cut decos; black brow; heavy black eye; frowning red lips. Black ying zajin 硬紮巾 stiff hat with four ochre verticals, 8 small red pompoms at top and at middle. One large red pompom atop central pompom ornament, and large red pompom at ear. Lacquered, natural neck.	See 1238, 1912.	H:	image 3.1975-3.1980	DSCN4619.JPG	1947, 1948, 1949	YES		
1950	19 #3 9	1979	Jing head	Jing head. Wu. Jing. Natural white painted face; black brow; grey forehead; thin black stripes on cheek and chin; heavy black eye; frowning red lips outlined in black. Black ying zajin 硬紮巾 stiff hat with four natural white verticals, 4 small black pompoms at top and 4 small natural white ones at middle. One large black pompom atop central green pompom ornament, and large black pompom at flesh ear; black pate, natural neck.	See 1238, 1912.	H:	image 3.1975-3.1980	DSCN4620.JPG|DSCN4621.JPG	1950, 1951, 1952|1950, 1951, 1952	YES|NO		
1951	19 #3 9	1980	Jing head	Jing head. Wu. Jing. Natural white painted face; black brow; black forehead; highly stylized heavy black eye; frowning red lips outlined in white, black. Natural white ying zajin 硬紮巾 stiff hat with four green verticals, 4 small natural pompoms at top and 4 small black ones at middle. One large natural pompom atop central black pompom ornament, and large black pompom at ear; black pate, natural neck.	See 1238, 1912.	H:	image 3.1975-3.1980	DSCN4620.JPG|DSCN4621.JPG	1950, 1951, 1952|1950, 1951, 1952	YES|NO		
1952	19 #3 9	1981	Jing head	Jing head. Wu. Jing. Demon. Green tone painted face; red cut repeats at brow; scalloped black eye; frowning red lips outlined in black and cut green. Orange red ying zajin 硬紮巾 stiff hat with four blue verticals, 4 small red pompoms at top and 4 small blue ones at middle. One large red pompom atop central pompom ornament, and large red pompom at ear; red pate. Lacquered, natural neck.	See 1238, 1912.	H:	image 3.1975-3.1980	DSCN4620.JPG|DSCN4621.JPG	1950, 1951, 1952|1950, 1951, 1952	YES|NO		
1953	19 #3 10	1982	Jing head	Jing head. Wu. Jing. Demon. Green tone painted face; red cut repeats at brow; scalloped black eye; long red sideburns into stachio, soul patch; lips, teeth, tongue. Orange red ying zajin 硬紮巾 stiff hat with four ochre verticals, 8 small green pompoms at top and at middle. One large red pompom atop central pompom ornament, and large red pompom at ear; red pate. Lacquered, natural neck.	See 1238, 1912.	H:	image 3.1981-3.1986	DSCN4622.JPG|DSCN4623.JPG	1953, 1954, 1955|1953, 1954, 1955	YES|NO		
1954	19 #3 10	1983	Jing head	Jing head. Wu. Jing. Demon. Pale blush painted face; oblong cut black brow; scalloped black eye; black stripe down forehead; slender vertical ear tuft; long pointed black sideburns into stachio, soul patch; lips, teeth, tongue. Black ying zajin 硬紮巾 stiff hat with four green verticals, 8 small natural white pompoms at top and at middle. One large black pompom atop central white pompom ornament; pale green pate, natural neck.	See 1238, 1912.	H:	image 3.1981-3.1986	DSCN4622.JPG|DSCN4623.JPG	1953, 1954, 1955|1953, 1954, 1955	YES|NO		
1955	19 #3 10	1984	Jing head	Jing head. Wu. Jing. Demon. Blue painted face; many multi colored decos; scalloped black eye; green circle on forehead; slender vertical red ear tuft; long pointed red sideburns into stachio, soul patch; lips, teeth, tongue. Red ying zajin 硬紮巾 stiff hat with four ochre verticals, 8 small green pompoms at top and at middle. One large red pompom atop central blue pompom ornament; pale red pate, natural neck. Kiss band member.	See 1238, 1912.	H:	image 3.1981-3.1986	DSCN4622.JPG|DSCN4623.JPG	1953, 1954, 1955|1953, 1954, 1955	YES|NO		
1956	19 #3 10	1985	Chou head	Chou head. Chou. Flesh face, cut wrinkles, narrow eye, tufted black brow, smiling red lips; grey brown pate. Maroon tall fur or felt, close fitting soft hat, curls forward. Natural neck. Unique.		H:	image 3.1981-3.1986	DSCN4624.JPG	1956, 1957, 1958	YES		
1957	19 #3 10	1986	Jing head	Jing head. Wu. Jing. Demon. Green painted face, red cut repeats at brow; black scalloped eye. Red long sideburns into stachio, soul patch; pate. Lips, teeth, tongue. Prominent red faji 髮髻; black close fitting cap; ciguye 慈菇葉; brown circlet. Kiss band member. Lacquered.		H:	image 3.1981-3.1986	DSCN4624.JPG	1956, 1957, 1958	YES		
1958	19 #3 10	1987	Dan head	Dan head. Dan. Black open cut face, black hair coil at ear with pendant ochre deco; quatrefoil hair pins; small earring. Long hinged black cut plait, bound in red cord ends in point. Small knotted cord for hinge.	Damage: break at eye.	H:	image 3.1981-3.1986	DSCN4624.JPG	1956, 1957, 1958	YES		
1959	20 #1	1988	Property	Property of Auspicious Ornament. Scholar/turtle with grapes and squirrels hanging from strings. Ji xiang ruyi. Property of ruyi 如意 scepter, scholar/turtle with grapes and squirrels hanging from strings. Hanging from horizontal deco ruyi scepter: Black painted characters on banner: ji xiang ruyi 吉祥如意. Manchu capped, sheng scholar holds banner aloft with both hands. Pull strings, 4 hinged parts change into turtle. Head, tail, back legs, round black carapace. On either side of scholar/turtle hang 4 grape clusters. Each bunch of green grapes has down facing, profile brown squirrel. Entire property hangs by strings from a stiff paper card 8 x 11”. Metal pin stuck in scholar hat; metal pin in card. Total pieces, 11. Lacquered.	Damage: some strings broken.	H: total height: 33 ½”	4 images of 3.1987	DSCN1381.JPG|DSCN1382.JPG|DSCN1383.JPG|DSCN2708.JPG	1959|1959|1959|1959	YES|NO|YES|YES		
1960	20 #2	1989	Property	Property of Pagoda. 4 levels, lotus lanterns hanging from strings on either side. Horizontal bar with 4 small lanterns, with cut lotus decos, has 8 larger size, that is 4 lanterns with cut lotus decos hanging from strings on either side of pagoda. 3 hinged pieces unfold, four tile roofs with bells, red doors at each level, top ochre knob. Pagoda resembles lotus when folded. Entire property hangs by strings from stiff paper card; some strings broken.		H: 35 ½ x 12”	2 images of 3.1988	DSCN2709.JPG	1960	YES		
1961	20 #3	1990	Property	Property of Cloud Immortal. Immortal. Zhong Liquan 鐘離權. One hand holds peach, other a fan. Red painted face; black tufted brow, long sideburns into stachio, soul patch; lips, teeth, tongue; natural neck. Long red lapel gown, ochre belt; half hidden by swirling multicolored clouds. 5 red, black bats arched over figure; pointed end of cloud attached by tied knot hinge. Lacquered.	Goes with 584, 585, 1962-1965, 1968, 1969, 2112.	H: 19 ¾ inches	1 image of 3.1989	DSCN2712.JPG|DSCN2713.JPG	1961, 1962, 1963|1961, 1962, 1963	YES|YES		
1962	20 #4	1991	Property	Property of an Immortal. 5 bat immortal, grey profile; red crutch, holding hulu gourd, Cloud immortal, Li Tieguai 李鐵拐.	Goes with 584, 585, 1961, 1963-1965, 1968, 1969, 2112.	H:	2 images of 3.1990	DSCN1394.JPG|DSCN1395.JPG|DSCN2712.JPG|DSCN2713.JPG	1962|1962|1961, 1962, 1963|1961, 1962, 1963	YES|YES|YES|YES		
1963	20 #5	1992	Property	Property of an Immortal. Chou. 5 bat immortal, old man, tan robe, holds black bamboo cylinder with 2 red sticks, holds peach; long cloud. Cloud immortal, Zhang Guolao 張果老 holding peach and yugu 魚鼓 bamboo drum.	Goes with 584, 585, 1961, 1962, 1964, 1965, 1968, 2112.	H:	2 images of 3.1991	DSCN1396.JPG|DSCN1397.JPG|DSCN2712.JPG	1963|1963|1961, 1962, 1963	YES|YES|YES		
1964	20 #6	1993	Property	Property of an Immortal. Sheng. 5 bat immortal, holds peach, holds bamboo flute, blue robe, long, hinged cloud. Han Xiangzi 韓湘子.	Goes with 584, 585, 1961-1963, 1965, 1968, 2112.	H:	2 images of 3.1992	DSCN1398.JPG|DSCN1399.JPG|DSCN2711.JPG	1964|1964|1964, 1965	YES|YES|YES		
1965	20 #7	1994	Property	Property of an Immortal. Monkey. 5 bat immortal, holds peach aloft, bat blows blue puff at him, see others, long cloud.	Envelope #20 #7. Old Object #1994. Goes with 584, 585, 1961-1964, 1968, 1969, 2112.	H:	2 images of 3.1993	DSCN2425.JPG|DSCN2711.JPG|DSCN2426.JPG|DSCN2428.JPG|DSCN1400.JPG|DSCN1401.JPG	1965|1964, 1965|1965|1965|1965|1965	YES|YES|YES|YES|YES|YES		
1966	20 #8	1995	Property	Property of Auspicious Ornament. Wu fu peng shou 五福捧壽. Auspicious ornament hanging from stiff paper card by strings, 15 parts. Red gowned, full frontal shou lao 壽老 stands central on symmetrical grey to black billowing cloud. He holds long ruyi 如意 scepters in both hands. Twin boy attendants hold long red poles ending in ochre dragon heads, lantern or chime ornament hangs from dragon face. Open cut face, twin ‘ya’ hair knobs, knee length blue lapel tunics over red trousers. Directly below, five red, black, green, ochre cut auspicious bats fly in a column from a large vase, each attached by two strings to next. Black ground flower vase with red to pink blossoms, ochre leaves, symmetrical ochre tied ribbon. 8 immortals hang, from 2 strings, in groups of 4 from either side. Each hold peach and recognizable attribute, profile on grey to black clouds with bottom point. Left side, top to bottom: Zhong Liquan 鐘離權, Zhang Guolao 張果老, Cao Guojiu 曹國舅, He Xiangu 何仙姑. Right side, top to bottom: Lü Dongbin 呂洞賓, Han Xiangzi 韓湘子, Li Tieguai 李鐵拐, Lan Caihe 藍采和.		H: total height with card: 35 ¼ inches; without card: 25 inches; width, 11 inches.	2 images of 3.1994	DSCN2433.JPG|DSCN2430.JPG|DSCN2431.JPG|DSCN2432.JPG|DSCN2703.JPG|DSCN2704.JPG|DSCN2705.JPG|DSCN2706.JPG|DSCN2707.JPG	1965|1966|1966|1966|1966|1966|1966|1966|1966	YES|YES|YES|YES|YES|NO|NO|NO|NO		
1967	20 #9	1996	Creature	Dromedary animal. 2 humps, profile on a stick; 4 hinged knees.		H:		DSCN2434.JPG|DSCN2435.JPG	1967|1967	YES|NO		
1968	20 #10	1997	Property	Property of an Immortal. Sheng, bearded 5 bat immortal, holds peach, holds sword; white robe. Lü Dongbin 呂洞賓 on cloud.	Goes with 584, 585, 1961-1965, 1969, 2112.	H:		DSCN2438.JPG|DSCN2439.JPG|DSCN2710.JPG	1968|1968|1968, 1969, 2112	YES|YES|YES		
1969	20 #11	1998	Property	Property of an Immortal. Lao sheng. Blue robe 5 bat immortal, holds peach, holds peach branch; long cloud. Peach immortal.	Goes with 584, 585, 1961-1965, 1968, 2112.	H:		DSCN2440.JPG|DSCN2441.JPG|DSCN2710.JPG	1969|1969|1968, 1969, 2112	YES|YES|YES		
1970	20 #12	1999	Property	Property of a Peach. Peach on a stick in 2 hinged pieces that open or close; string knots are broken or missing.	Some string missing or broken.	H:		DSCN2442.JPG|DSCN2443.JPG|DSCN2444.JPG|DSCN2445.JPG	1970|1970|1970|1970	YES|YES|YES|YES		
1971	21 #1	2000	Figure	Stiltwalker. Sheng. Profile; holds hand drum; stick stilts attached to feet. 1 rod.		H:		DSCN2453.JPG	1971	YES		
1972	21 #1	2001	Figure	Stiltwalker. Sheng. Red shoulder pole and straw brimmed hat; stilts attached to feet. 1 rod.		with stilts: 16 inches, without 11 inches.		DSCN2456.JPG	1972	YES		
1973	21 #1	2002	Figure	Stiltwalker. Sheng, white face, bare chest, holds 2 red batons above head; hinged knees and hips; stilts attached to feet. 1 rod.		H:		DSCN2457.JPG|DSCN2459.JPG	1973|1973	NO|YES		
1974	21 #2	2003	Figure	Stiltwalker. Chou. Holds red baton aloft; black clothes, handdrum; stilts attached to feet. 1 rod.		H:		DSCN2461.JPG|DSCN2462.JPG|DSCN2463.JPG	1974|1974|1974	YES|YES|YES		
1975	21 #2	2004	Figures	Official and bearers. 3 chou figures, all one attached piece. Official holds umbrella and fan; flower rank badge, buzi, on gown. Bearers with bamboo shoulder pole. 3 different faces. 1 rod.	1 rod missing. Envelope #21 #2. Old Object #2004. See Simon, p. 83, 87, ex 112, gang guan 槓官.	H:	image 3.2003	DSCN0412.JPG|DSCN0415.JPG	1975|1975	YES|YES		
1976	21 #2	2005	Figures	Bearers. 2 chou bearers; Qing. Carrying red shoulder pole with 6 sided basket and flags. 1 rod.	1 rod missing	H:	front and back images 3.2004	DSCN0414.JPG	1976	YES		
1977	21 #2	2006b	Male body	Manchu body. Hunchback Manchu or soldier emissary. Button down front jacket; close sleeves; large hand with 2 thumbs and 4 fingers slightly oversize front hand, open; cloth shoes, leggings. 3 rods.	Newer neck piece on collar.	H:	2 images 3.2005	DSCN0416.JPG|DSCN0418.JPG	1977|1977	YES|YES		
1978	21 #2	2007	Figure	Suffering soul figure. Half naked male or female chou. Hair back, barefoot; blue green short skirt, red sash. 1 neck rod.		H:	3 images, 1 shows flip face 3.2006, 3.2007	DSCN0419.JPG|DSCN0421.JPG	1978|1978	YES|YES		
1979	21 #2	2008	Figure	Suffering soul figure. Flip-face chou, bloody or not. Half naked female, pendant breasts, red harem pants, blue green sash, bound feet in shoes. 1 neck rod.	Rod handle damaged	H:	3 images, 1 shows flip face 3.2006, 3.2007	DSCN0421.JPG|DSCN0422.JPG	1979|1979	YES|YES		
1980	21 #2	2009	Figure	Stiltwalker. Lao sheng fisherman stiltwalker. Holds bamboo fishing rod; front hand with 2 finger gesture; carries basket on back; knee length, lapelled tunic; black cloth shoes. Twist style black ciguye 慈菇葉 bravery symbol, bamboo-like stilts.	One knee no longer attached; warp near top of fishing rod. Envelope #21 #2. Old Object #2009.	H: 11 without stilts	2 images 3.2008	DSCN0423.JPG|DSCN0426.JPG	1980|1980	YES|YES		
1981	22 #1	2010	Jing head	Jing head. Wu jing official. Shamao, front emblem, ciguye, light blue fillet, red, grey accents; diamond-shaped crosshatch painted fins. Deep red painted face with stylized black eye, cut black, curling shapes, yellow highlight on forehead and above; full black beard. Note: Tip at bottom attached with 3 plugs at time of making.		H:		DSCN2889.JPG	1981, 1982, 1983	YES		
1982	22 #1	2011	Jing head	Jing head. Wu jing official. Same style shamao as 1981. Front emblem, ciguye, light blue fillet, red, grey accents; diamond-shaped, crosshatch painted fins. Flesh face with blush, stylized black eye, brow, black two strand pointed beard, stachio, soul patch, teeth, lips, tongue.		H:		DSCN2889.JPG	1981, 1982, 1983	YES		
1983	22 #1	2012	Jing head	Jing head. Wu jing official. Shamao with red, grey accents; blue-green fillet, ciguye, diamond shaped fins with cut decorations. Red painted face, black patch on forehead, white above eye, stylized black eye, full black opera-style beard.		H:		DSCN2889.JPG	1981, 1982, 1983	YES		
1984	22 #1	2013	Jing head	Jing head. Wu jing official. Shamao, front emblem, ciguye, blue fillet, red, grey accents; diamond shaped crosshatch painted fins. Mournful stylized black eye in white painted face, blush; grey outlined red patch above eye. Yizi 一字 style black greasepaint stachio obscures mouth.		H: 3 1/4		DSCN2890.JPG	1984, 1985	YES		
1985	22 #1	2014	Chou head	Chou head. Wu chou official. Front emblem, ciguye, green fillet, red, grey accents; diamond-shaped, crosshatch painted flippers. White painted face with pink blush on forehead and cheek. Black swoosh style brow,triangle stylized eye, other small black, cut marks. Black yizi 一字 greasepaint stachio obscures mouth.		H: 3 1/4		DSCN2890.JPG	1984, 1985	YES		
1986	22 #1	2015	Jing head	Jing head. Lao wu jing official. Shamao, ciguye, grey fillet, red, blue-green accents, paddle-shaped fins with crosshatch painted and cut pattern. Red painted face, narrow black stylized eye, white streak below brow. White, 3 strand long, pointed chou san 丑三 style stachio.	Damage: Top of shamao bitten off?	H:		DSCN2891.JPG	1986, 1987, 1988, 1989	YES		
1987	22 #1	2016	Sheng head	Sheng head. Wu sheng official. Shamao, front emblem, ciguye, blue fillet, red, grey, green accents; paddle-shaped fins with crosshatch painted and cut pattern. Open cut face in black, small red lips, long black stachio, beard, and soul patch.		H:		DSCN2891.JPG	1986, 1987, 1988, 1989	YES		
1988	22 #1	2017	Sheng head	Sheng head. Lao wu sheng official. Exact same shamao as 1987: front emblem, ciguye, blue fillet, red, grey, green accents; paddle-shaped fins with crosshatch painted and cut pattern. Open cut face in natural white including hair, small red lips, long stachio, beard, and soul patch.	Exactly the same as 1987.	H:		DSCN2891.JPG	1986, 1987, 1988, 1989	YES		
1989	22 #1	2018	Jing head	Jing head. Wu jing official. Same hat and face as 1986 but different coloration. Shamao, front emblem, ciguye, grey fillet, red, blue-green, brown accents, paddle-shaped fins with crosshatch painted and cut pattern. Red painted face, narrow black stylized eye, white streak below brow. Black, 3 strand long, pointed chou san 丑三 style stachio.	Damage: cross hatch partially worn off.	H:		DSCN2891.JPG	1986, 1987, 1988, 1989	YES		
1990	22 #1	2019	Sheng head	Sheng boy head. Sheng. Boy. Ne Zha 哪吒. Black, filigree cut bangs and hair, twin hair-knots bound in red; black back cloth. Black, open cut face.	See Simon, p 68 ex 145, shuang zhua ji 雙髽髻. Envelope #22 #1. Old Object #2019.	H:		DSCN2892.JPG	1990, 1991	YES		
1991	22 #1	2020	Chou head	Chou head. Lao chou. Daoist. Small lotus crown perched on back of head, blue-green pompom above red, green cut emblem. Red, green, blue tasseled decoration extends above white hair at back. Highly decorated green, ochre cut diadem, ezi 額子, with front decoration, 4 small red pompoms, 1 large natural pompom atop caltrop. Wrinkled, white, cut face with amused round clown patch eye; full filigree cut beard obscures mouth.		H: 4 3/4		DSCN2892.JPG	1990, 1991	YES		
1992	22 #1	2021	Sheng head	Sheng head. Wen sheng. Light blue shamao, front emblem, yellow, red ornamented cut edge and accents. Yellow cut outlined light blue cloud-shaped fins on delicate extensions; small red back ribbon. Black open cut face with long pointed stachios that mix with beard strands.	See also 1993, 1994, 1995.	H:		DSCN2893.JPG	1992, 1993, 1994, 1995	YES		
1993	22 #1	2022	Sheng head	Sheng head. Wen sheng. Different maker but same hat and face as 1992. Green shamao, front emblem, yellow, pale grey ornamented cut edge and accents. Yellow cut outlined light blue cloud-shaped fins on delicate extensions; small red back ribbon. Black open cut face with long pointed stachios that mix with beard. Very tip of beard attached with 2 small plugs at time of making.	See also 1992, 1994, 1995.	H:		DSCN2893.JPG	1992, 1993, 1994, 1995	YES		
1994	22 #1	2023	Sheng head	Sheng head. Wen sheng. Same maker as 1993. Dark blue shamao, front emblem, yellow, green ornamented cut edge and accents. Yellow cut outlined light blue cloud-shaped fins on delicate extensions; short red back ribbon. Black open cut face with 'ba' 八 pointed stachios and soul patch.	See also 1992, 1993, 1995.	H: 3		DSCN2893.JPG	1992, 1993, 1994, 1995	YES		
1995	22 #1	2024	Sheng head	Sheng head. Wen sheng. Same maker as 1993. Green shamao, front emblem, red, yellow, blue ornamented cut edge and accents. Yellow cut outlined light blue cloud-shaped fins on delicate extensions; short red back ribbon. Black open cut face, stripling. See also 1992, 1994.		H: 3		DSCN2893.JPG	1992, 1993, 1994, 1995	YES		
1996	22 #2	2025	Chou head	Chou head. Chou minister. Black shamao hat, round fins; triangle eye. Very faint black ink on neck 兵相.	Envelope #22 #2. Old Object #2025.	H:		DSCN2894.JPG|DSCN2895.JPG	1996, 1997|1996, 1997	YES|YES		
1997	22 #2	2026	Chou head	Chou head. Chou minister. Flesh cut face, blush. Stylized clown patch; fish shaped eye. Black swoosh brow, 'ba' 八 stachio into long pointed sideburns; soul patch. Teeth, tongue, lips. Black shamao, green fillet, tilted forward on head with back ribbons or fins pointing straight up. Red edge visible over black pate. Trouble. Very faintly written in black ink on neck 妖？丑相.	Envelope #22 #2. Old Object #2026.	H:		DSCN2894.JPG|DSCN2895.JPG	1996, 1997|1996, 1997	YES|YES		
1998	22 #2	2027	Sheng head	Sheng head. Lao wen sheng minister. Black square shamao with grey and red accents; blue fillet, narrow black fins extend horizontally to front and back, short red back ribbon. Natural open cut face; with long stachios that mingle into beard strands.	See Broman, p 154, ex 344 hei xiang sha mao 黑相紗帽. See Simon, p 52, ex 29. Envelope #22 #2. Old Object #2027.	H:		DSCN2896.JPG	1998, 1999, 2000	YES		
1999	22 #2	2028	Sheng head	Sheng head. Lao sheng minister. Black square shamao with grey and red accents, short red back ribbon. White painted face, light pink blush from grey brow to cheek; warning look in black eye. Long, 3 wisp white opera-style pointed stachio and beard obscures mouth. Note: fold on neck enable snug fit when head inserted into neck collar.	See Broman, p 154, ex 344 hei xiang sha mao 黑相紗帽. See Simon, p 52, ex 29. Envelope #22 #2. Old Object #2028.	H:		DSCN2896.JPG	1998, 1999, 2000	YES		
2000	22 #2	2029	Chou head	Chou head. Lao wen chou minister. Black, square shamao with red and grey accents. Narrow black fins extend horizontally to front and back; green fillet, twin yellow ribbons extend down at back. White ear tuft obscures red ribbon. Pink, wrinkle cut flesh face, white tufted brow, filigree cut stachio and full beard; teeth, tongue, lips.	See Broman, p 154, ex 344 hei xiang sha mao 黑相紗帽. See Simon, p 52, ex 29. Envelope #22 #2. Old Object #2029.	H: 4 1/2		DSCN2896.JPG	1998, 1999, 2000	YES		
2001	22 #2	2030	Chou head	Chou head. Lao chou minister. Same exact hat as 1998. Black square shamao with light grey and red accents; blue fillet, black fins extend horizontally to front and back, short red back ribbon. White painted face, small black swoosh decorations around stylized black triangle eye; grey swoosh brow; full opera-style beard painted in thin black stripes to depict hair strands.	See 2002. See Broman, p 154, ex 344 hei xiang sha mao 黑相紗帽. See Simon, p 52, ex 29. Envelope #22 #2. Old Object #2030.	H:		DSCN2897.JPG	2001, 2002, 2003, 2004	YES		
2002	22 #2	2031	Chou head	Chou head. Lao chou minister. Same exact hat as 1998. Black square shamao with light grey and red accents; blue fillet, black ribbons extend horizontally to front and back, short red back ribbon; yellow sash at edge ties at nape and extends back. White painted face, rouge on forehead and eye area; cut, black swoosh decorations echo swoosh style brow. Stylized downward looking eye expresses alarm. Full opera-style beard obscures mouth; hair and beard painted with slightly waved thin black lines.	See 2001. See Broman, p 154, ex 344 hei xiang sha mao 黑相紗帽. See Simon, p 52, ex 29. Envelope #22 #2. Old Object #2031.	H:		DSCN2897.JPG	2001, 2002, 2003, 2004	YES		
2003	22 #2	2032	Jing head	Jing head. Lao jing minister. Black shamao, grey and red accents, green fillet; short red back ribbon; black ribbons extend horizontally to front and back. White painted face with red decorations at front and grey brow above heavy black stylized eye. Full opera-style beard over mouth painted in medium thick black stripes.	See Broman, p 154, ex 344 hei xiang sha mao 黑相紗帽. See Simon, p 52, ex 29. Envelope #22 #2. Old Object #2032.	H:		DSCN2897.JPG	2001, 2002, 2003, 2004	YES		
2004	22 #2	2033	Chou head	Chou head. Lao chou minister. Black shamao, grey and red accents, green fillet; short red back ribbon; long narrow black fins extend horizontally to front and back. White painted face with black triangle eye and brow, red 'tear-drop' and small black swooshes. Full opera-style beard finely painted in thin black stripes; obscures mouth. Gives effect of grey.	See Broman, p 154, ex 344 hei xiang sha mao 黑相紗帽. See Simon, p 52, ex 29. Envelope #22 #2. Old Object #2033.	H: 5		DSCN2897.JPG	2001, 2002, 2003, 2004	YES		
2005	22 #2	2034	Jing head	Jing head. Lao jing minister. Square black shamao, grey-green fillet, horizontal ribbon. Black with white painted face, full opera beard, painted strands. Beard attached with glue at time of making.	See Broman, p 154, ex 344 hei xiang sha mao 黑相紗帽. See Simon, p 52, ex 29. Envelope #22 #2. Old Object #2034.	H:		DSCN2898.JPG	2005, 2006, 2007	YES		
2006	22 #2	2035	Sheng head	Sheng head. Jing minister. Square shamao, horizontal ribbon. White painted face with pink blush, green pate; black 3 strand opera beard covers mouth.	See Broman, p 154, ex 344 hei xiang sha mao 黑相紗帽. See Simon, p 52, ex 29. Envelope #22 #2. Old Object #2035.	H:		DSCN2898.JPG	2005, 2006, 2007	YES		
